#WIN_LOSE_DRAW,ATK_AVG,ATK_OPS,PIT_ERA,PIT_WHIP,DEF_A,DEF_E,Cont_Winning_Rate_20,Diff,HOME_AWAY
W,0.462,1.194,8,2,14,0,0.5,9,H
W,0.439,1.047,6,1.44,12,0,0.5,1,A
L,0.235,0.669,12.38,1.88,1,0,0.5,9,A
L,0.182,0.471,5.63,1.75,9,1,0.357,3,A
W,0.389,0.872,6.75,2,9,0,0.563,4,H
W,0.364,0.824,3,0.89,12,1,0.563,1,H
W,0.222,0.693,2,1.78,13,1,0.563,1,H
D,0.289,0.72,4,1,11,0,0.5,0,H
W,0.333,0.861,7,2,12,0,0.5,4,H
W,0.425,1.155,3,1.44,10,0,0.4,10,H
L,0.353,0.788,4,1.78,9,1,0.4,2,H
W,0.341,0.841,2,0.89,12,1,0.667,5,A
L,0.286,0.706,15.75,2.38,13,0,0.667,9,A
D,0.35,0.795,4,1.11,8,0,0.357,0,H
L,0.206,0.535,13,2.33,11,1,0.357,10,H
W,0.353,0.905,1,1,7,2,0.357,2,H
L,0.27,0.723,8,2.22,9,0,0.333,4,H
L,0.361,0.819,13,3.22,11,1,0.333,3,H
W,0.323,0.787,0,0.44,7,1,0.333,10,H
W,0.115,0.409,0,0.67,11,0,0.467,1,H
D,0.295,0.994,14,3,11,1,0.467,0,H
W,0.345,0.885,2,1,5,0,0.467,1,H
D,0.27,0.659,3,0.89,5,1,0.357,0,A
L,0.161,0.452,3,1.56,17,1,0.4,1,H
L,0.257,0.754,5,1.11,14,0,0.4,2,H
L,0.25,0.623,4,1.44,12,0,0.357,3,H
W,0.29,0.845,2,1,10,0,0.357,2,H
